Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
589AA1,NY,MOT,4755783859,11/03/2021,08:42P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak1VNVVZelJOZW1jeFQxRTlQUT09&locationName=_____________________)
AL50214,AZ,PAS,4755783938,11/03/2021,08:44P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak1VNVVZelJOZW10NlQwRTlQUT09&locationName=_____________________)
T750180C,NY,OMT,4018340862,07/18/2021,07:13P,BUS LANE VIOLATION,,100.00,25.00,0.00,25.00,100.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFOUVUVEJOUkdjeVRXYzlQUT09&locationName=_____________________)
T794224C,NY,OMT,4017545452,05/26/2021,11:29A,BUS LANE VIOLATION,08/26/2021,50.00,25.00,0.36,0.06,75.30,0.00,000,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFNTZWVEJPVkZFeFRXYzlQUT09&locationName=_____________________)
31843MD,NY,COM,4018341015,07/21/2021,01:05P,BUS LANE VIOLATION,,250.00,0.00,0.00,0.00,250.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFOUVUVEJOVkVGNFRsRTlQUT09&locationName=_____________________)
3U40X0,TN,PAS,4018341090,07/21/2021,02:25P,BUS LANE VIOLATION,,100.00,0.00,0.00,0.00,100.00,0.00,000,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFOUVUVEJOVkVFMVRVRTlQUT09&locationName=_____________________)
JPY6971,NY,PAS,5601014218,09/17/2021,02:00P,NO STANDING-SNOW EMERGENCY,,50.00,0.00,0.00,0.00,50.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSWmQwMVVRWGhPUkVsNFQwRTlQUT09&locationName=_____________________)
T720744C,NY,PAS,1473287250,03/20/2021,12:48P,NO STANDING-EXC. AUTH. VEHICLE,,95.00,0.00,0.00,95.00,0.00,0.00,014,,POLICE DEPARTMENT,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZTVFJPZWtreFRVRTlQUT09&locationName=_____________________)
JKN9005,NY,PAS,8836265790,10/07/2020,01:25P,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,047,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpPVkdNMVRVRTlQUT09&locationName=_____________________)
53209PC,NY,APP,8713792866,08/26/2020,02:30P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,65.00,0.00,0.00,005,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVFMTZZelZOYW1jeVRtYzlQUT09&locationName=_____________________)
